N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec
20000,10,32,400,200,0.999925,3.4733471870422363,3.7186152935028076,5378.346083539254,6.834370374679565
20000,10,32,200,200,0.99985,1.629260778427124,3.2353944778442383,6181.6264251418625,6.834370374679565
20000,10,16,400,200,0.9995,2.649967670440674,2.366827964782715,8450.128314178546,6.834370374679565
20000,10,32,400,100,0.999495,3.6862714290618896,1.9185750484466553,10424.403265430086,6.834370374679565
20000,10,32,100,200,0.9993299999999999,1.0675075054168701,2.5935609340667725,7711.405480124759,6.834370374679565
20000,10,32,200,100,0.9992,1.9799911975860596,1.6662256717681885,12003.176003629882,6.834370374679565
20000,10,16,200,200,0.9991800000000001,1.5883049964904785,2.2124898433685303,9039.589519448311,6.834370374679565
20000,10,16,100,200,0.9985350000000001,0.935666561126709,2.0647292137145996,9686.500228288303,6.834370374679565
20000,10,32,100,100,0.997635,0.7765841484069824,1.2135910987854004,16480.015402236073,6.834370374679565
20000,10,16,400,100,0.99723,2.2207000255584717,1.542414903640747,12966.679687022992,6.834370374679565
20000,10,32,400,50,0.99697,3.5262539386749268,1.0186185836791992,19634.434635740694,6.834370374679565
20000,10,16,200,100,0.9968799999999999,1.380305528640747,1.318415880203247,15169.720192475836,6.834370374679565
20000,10,32,200,50,0.99618,1.9629106521606445,0.936455488204956,21357.128290568282,6.834370374679565
20000,10,8,400,200,0.995555,1.683455467224121,1.3679487705230713,14620.430553369679,6.834370374679565
20000,10,16,100,100,0.9947849999999998,0.9051845073699951,1.2733445167541504,15706.668334333808,6.834370374679565
20000,10,8,200,200,0.9936950000000001,0.953559160232544,1.3927350044250488,14360.233595375477,6.834370374679565
20000,10,32,100,50,0.99254,0.9699950218200684,0.9113354682922363,21945.81544980167,6.834370374679565
20000,10,8,100,200,0.9911200000000001,0.5388789176940918,1.0985453128814697,18205.89443647096,6.834370374679565
20000,10,16,400,50,0.9890549999999999,2.4886436462402344,0.9804787635803223,20398.19804660315,6.834370374679565
20000,10,16,200,50,0.988625,1.5104598999023438,0.5874989032745361,34042.616741114274,6.834370374679565
20000,10,8,400,100,0.9866349999999998,1.7804875373840332,0.8505275249481201,23514.81805508875,6.834370374679565
20000,10,16,100,50,0.9853,0.7633345127105713,0.8039376735687256,24877.550409124193,6.834370374679565
20000,10,8,200,100,0.984525,0.8571770191192627,0.8381221294403076,23862.87069326742,6.834370374679565
20000,10,8,100,100,0.9786900000000002,0.5018258094787598,0.6458456516265869,30967.151283947234,6.834370374679565
20000,10,8,400,50,0.965585,1.796215295791626,0.40683865547180176,49159.53715559905,6.834370374679565
20000,10,8,200,50,0.9630850000000002,0.9524247646331787,0.3245680332183838,61620.3629226268,6.834370374679565
20000,10,8,100,50,0.95578,0.5227077007293701,0.4448583126068115,44958.13483354422,6.834370374679565
