N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec,varied_param,seed,timestamp
20000,10,4,200,100,0.916955,0.23905110359191895,0.11096477508544922,180237.37699282367,17.115784883499146,M,43,20260608_151120
20000,10,8,200,100,0.987625,0.30573105812072754,0.17131614685058594,116743.22804751778,17.115784883499146,M,43,20260608_151120
20000,10,12,200,100,0.99555,0.3951261043548584,0.22446870803833008,89099.27880274883,17.115784883499146,M,43,20260608_151120
20000,10,16,200,100,0.9979699999999999,0.4593546390533447,0.29433393478393555,67950.03102405295,17.115784883499146,M,43,20260608_151120
20000,10,24,200,100,0.9991900000000001,0.5627844333648682,0.42560458183288574,46991.975306913,17.115784883499146,M,43,20260608_151120
20000,10,32,200,100,0.999525,0.6340072154998779,0.49015378952026367,40803.520094325766,17.115784883499146,M,43,20260608_151120
20000,10,48,200,100,0.9996799999999999,0.687542200088501,0.611142635345459,32725.584574368066,17.115784883499146,M,43,20260608_151120
20000,10,64,200,100,0.9997199999999999,0.6957154273986816,0.6703841686248779,29833.640076890384,17.115784883499146,M,43,20260608_151120
20000,10,16,200,10,0.9587600000000001,0.4568455219268799,0.05674910545349121,352428.46279561217,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,20,0.97815,0.45654821395874023,0.09506583213806152,210380.52842113184,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,50,0.994,0.4503793716430664,0.18122148513793945,110362.19013864001,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,100,0.99797,0.46010470390319824,0.3153846263885498,63414.63193377174,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,150,0.9988799999999999,0.42606496810913086,0.3922922611236572,50982.39751840442,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,200,0.99929,0.42622828483581543,0.528367280960083,37852.45741117523,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,250,0.999505,0.42722392082214355,0.6352114677429199,31485.577662924552,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,300,0.999685,0.4410715103149414,0.7305221557617188,27377.677517728276,17.115784883499146,ef,43,20260608_151120
20000,10,16,200,400,0.99985,0.42714643478393555,0.9311716556549072,21478.31699831294,17.115784883499146,ef,43,20260608_151120
20000,10,16,50,100,0.99154,0.14554667472839355,0.24855852127075195,80463.94827966581,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,100,100,0.995925,0.2594790458679199,0.28768348693847656,69520.84811276346,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,150,100,0.997315,0.3533647060394287,0.29419803619384766,67981.41911056796,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,200,100,0.9979699999999999,0.4317758083343506,0.29259300231933594,68354.33466099098,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,250,100,0.998135,0.4976010322570801,0.2924482822418213,68388.16028148966,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,300,100,0.998265,0.5710883140563965,0.3173198699951172,63027.884135675944,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,400,100,0.9983799999999999,0.6984560489654541,0.2995734214782715,66761.59687768105,17.115784883499146,ef_construction,43,20260608_151120
20000,10,16,500,100,0.9984299999999999,0.8059535026550293,0.29794788360595703,67125.83341068622,17.115784883499146,ef_construction,43,20260608_151120
